,단맛,신맛,바디감,청량감,cluster,pca_x,pca_y
0,3.0,3.0,2.0,3.0,2,2.162505604153127,0.011745993390249338
1,3.0,3.0,3.0,3.0,2,2.1315121408125295,-0.09676176001935836
2,4.0,2.0,4.0,2.0,2,1.5200075059951326,-1.2843896742683991
3,4.0,4.0,3.0,3.0,2,3.300555010819434,-0.17926293878422206
4,3.0,3.0,3.0,2.0,2,1.5737678055713156,-0.2444136597972237
5,4.0,3.0,2.0,3.0,2,2.7356436210387844,-0.4952387265229692
6,2.0,3.0,2.0,3.0,0,1.4571423043082234,1.9736605411792412
7,4.0,3.0,2.0,3.0,2,2.7356436210387844,-0.4952387265229692
8,3.0,1.0,2.0,3.0,2,0.9706958979106435,-0.837221088906453
9,2.0,2.0,2.0,2.0,0,0.30349311594576117,1.4015251002530227
10,3.0,1.0,2.0,3.0,2,0.9706958979106435,-0.837221088906453
11,3.0,2.0,1.0,3.0,2,1.5975942143724808,-0.304229794348496
12,3.0,3.0,2.0,3.0,2,2.162505604153129,0.011745993390249778
13,2.0,3.0,3.0,1.0,0,0.31066017048519046,1.569848988213901
14,2.0,1.0,2.0,3.0,3,0.46367052250461405,-1.0577012829311194
15,2.0,3.0,3.0,1.0,0,0.31066017048519046,1.569848988213901
16,1.0,3.0,2.0,2.0,0,0.3262599521813491,2.332993361314593
17,3.0,3.0,2.0,3.0,2,2.162505604153129,0.011745993390249778
18,3.0,3.0,3.0,2.0,2,1.5737678055713156,-0.2444136597972229
19,1.0,3.0,2.0,0.0,0,-0.7892287183010894,2.0376895617588593
20,2.0,2.0,2.0,1.0,3,-0.05591329485658159,-0.9285215413385028
21,2.0,2.0,2.0,1.0,3,-0.05591329485658159,-0.9285215413385028
22,4.0,4.0,3.0,3.0,2,3.3005550108194326,-0.17926293878422347
23,2.0,2.0,2.0,1.0,3,-0.05591329485658159,-0.9285215413385028
24,3.0,3.0,2.0,4.0,2,2.7202499393943484,0.15939789316811703
25,3.0,3.0,2.0,4.0,2,2.7202499393943484,0.15939789316811703
26,3.0,2.0,2.0,3.0,2,1.5666007510318862,-0.4127375477581015
27,3.0,1.0,1.0,1.0,3,-0.04768666775157499,-1.7514820489904679
28,4.0,1.0,3.0,2.0,3,1.0212087576941102,-2.3278303759450303
29,2.0,2.0,3.0,1.0,3,-0.08690675819717615,-1.0370292947481083
30,3.0,4.0,2.0,2.0,2,2.200666122033153,0.28857763476073395
31,4.0,3.0,2.0,3.0,2,2.7356436210387844,-0.4952387265229692
32,4.0,3.0,2.0,3.0,2,2.7356436210387844,-0.4952387265229692
33,2.0,2.0,3.0,1.0,3,-0.08690675819717615,-1.0370292947481083
34,4.0,3.0,2.0,3.0,2,2.7356436210387844,-0.4952387265229692
35,2.0,2.0,3.0,1.0,3,-0.08690675819717615,-1.0370292947481083
36,2.0,2.0,3.0,1.0,3,-0.08690675819717615,-1.0370292947481083
37,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
38,3.0,1.0,2.0,0.0,3,-0.6364244663333888,-2.0076417021779407
39,1.0,4.0,4.0,2.0,0,0.8601778786214032,2.540461395643733
40,4.0,4.0,2.0,3.0,2,3.3315484741600274,-0.07075518537461797
41,4.0,4.0,2.0,3.0,2,3.3315484741600274,-0.07075518537461797
42,4.0,3.0,2.0,3.0,2,2.7356436210387844,-0.4952387265229692
43,3.0,3.0,2.0,2.0,2,1.6047612689119102,-0.13590590638761746
44,2.0,3.0,3.0,3.0,0,1.4261488409676288,1.8651527877696357
45,3.0,3.0,2.0,3.0,2,2.162505604153129,0.011745993390249778
46,0.0,3.0,3.0,3.0,0,0.27987280719631935,2.8791222275960737
47,2.0,1.0,4.0,1.0,3,-0.7138050746590134,-1.570020589306065
48,3.0,3.0,2.0,4.0,2,2.7202499393943484,0.15939789316811703
49,4.0,4.0,2.0,4.0,2,3.8892928094012458,0.07689671440324922
50,4.0,4.0,2.0,4.0,2,3.8892928094012458,0.07689671440324922
51,1.0,1.0,3.0,2.0,3,-0.698205292962855,-0.8068762162053731
52,4.0,1.0,3.0,2.0,3,1.0212087576941102,-2.3278303759450303
53,4.0,1.0,3.0,2.0,3,1.0212087576941102,-2.3278303759450303
54,1.0,3.0,3.0,1.0,0,-0.2624778464004647,2.0768337081271206
55,3.0,1.0,1.0,0.0,3,-0.6054310029927943,-1.8991339487683347
56,2.0,5.0,4.0,0.0,0,0.9137320781458627,2.1626564173231313
57,0.0,0.0,0.0,0.0,1,-3.021981726389658,0.7607742511083486
58,2.0,3.0,2.0,2.0,0,0.8993979690670042,1.8260086414013739
59,3.0,4.0,3.0,4.0,2,3.285161329174997,0.47537368090686266
60,2.0,4.0,3.0,2.0,0,1.4643093588476526,2.1419844291401198
61,2.0,3.0,1.0,2.0,0,0.9303914324075987,1.9345163948109794
62,3.0,1.0,3.0,2.0,3,0.44807074080845516,-1.8208456560318116
63,1.0,3.0,3.0,0.0,0,-0.8202221816416838,1.9291818083492533
64,4.0,3.0,2.0,2.0,2,2.177899285797565,-0.6428906263008366
65,4.0,3.0,2.0,3.0,2,2.7356436210387844,-0.4952387265229692
66,2.0,3.0,2.0,4.0,0,2.0148866395494425,2.1213124409571082
67,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
68,2.0,0.0,3.0,0.0,3,-1.8364607996808813,-2.0336482768226785
69,2.0,0.0,3.0,0.0,3,-1.8364607996808813,-2.0336482768226785
70,0.0,0.0,0.0,0.0,1,-3.021981726389658,0.7607742511083486
71,4.0,1.0,2.0,5.0,2,2.6593225852787366,-1.0489020092639372
72,3.0,1.0,2.0,3.0,2,0.9706958979106435,-0.837221088906453
73,2.0,2.0,1.0,1.0,3,-0.02491983151598716,-0.8200137879288976
74,3.0,2.0,2.0,2.0,2,1.008856415790667,-0.5603894475359688
75,2.0,0.0,2.0,0.0,3,-1.8054673363402867,-1.9251405234130727
76,4.0,1.0,2.0,3.0,2,1.5438339147962985,-1.3442058088196716
77,0.0,0.0,1.0,0.0,1,-3.052975189730253,0.652266497698743
78,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
79,2.0,3.0,3.0,4.0,2,2.1161184591680993,0.5578748596717308
80,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
81,4.0,2.0,2.0,2.0,2,1.5819944326763222,-1.067374167449188
82,3.0,1.0,2.0,1.0,3,-0.07868013109216952,-1.8599898024000734
83,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
84,3.0,0.0,3.0,3.0,3,0.4099102229284314,-2.0976772974022952
85,3.0,0.0,3.0,3.0,3,0.4099102229284314,-2.0976772974022952
86,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
87,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
88,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
89,4.0,4.0,3.0,3.0,2,3.3005550108194326,-0.17926293878422347
90,4.0,4.0,2.0,3.0,2,3.3315484741600274,-0.07075518537461797
91,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
92,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
93,3.0,0.0,4.0,0.0,3,-1.2943162461358209,-2.6491407501455027
94,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
95,2.0,0.0,4.0,0.0,3,-1.8674542630214757,-2.1421560302322833
96,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
97,2.0,0.0,2.0,2.0,3,-0.6899786658578483,-1.6298367238573381
98,2.0,0.0,2.0,2.0,3,-0.6899786658578483,-1.6298367238573381
99,1.0,0.0,1.0,0.0,1,-2.479837172844598,0.14528177778552398
100,3.0,0.0,3.0,0.0,3,-1.263322782795226,-2.540632996735897
101,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
102,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
103,0.0,0.0,5.0,0.0,1,-3.1769490430926313,0.21823548406032098
104,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
105,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
106,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
107,3.0,2.0,2.0,3.0,2,1.5666007510318862,-0.4127375477581015
108,2.0,2.0,2.0,2.0,0,0.30349311594576117,1.4015251002530227
109,1.0,3.0,2.0,2.0,0,0.3262599521813491,2.332993361314593
110,4.0,3.0,3.0,3.0,2,2.70465015769819,-0.6037464799325748
111,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
112,2.0,1.0,4.0,1.0,3,-0.7138050746590134,-1.570020589306065
113,4.0,4.0,2.0,2.0,2,2.773804138918808,-0.21840708515248522
114,3.0,2.0,3.0,2.0,2,0.9778629524500727,-0.6688972009455743
115,1.0,3.0,2.0,1.0,0,-0.23148438305987004,2.185341461536726
116,1.0,3.0,2.0,1.0,0,-0.23148438305987004,2.185341461536726
117,2.0,1.0,2.0,1.0,3,-0.6518181479778243,-1.353005082486854
